Dataset Name,Domain,Country,Data Type,Access Level,Link,Use Cases,Last Updated,Challenges/Notes
HarvestStat Africa,Agriculture ,Africa-wide,Tabular,Open (MIT License) ,HarvestStat Africa ,"Food security, trade, development, policy, research	",2025,"Data harmonization, coverage gaps, requires technical skills to use"
"ATA Data, Ethiopia ",Agriculture,Ethiopia,Tabular,Public,ATA Data Portal,"Analyze farmer participation in input subsidy programs, monitor agricu;ltural advisory, soil fertility mapping and fertilizer recommendations, market price analysis for key crops, analyse seed distribution and sales ",2024,"Limited to 48 woredas; may require data cleaning multilingual data: may need transcription, data may be incomplete for some regions and may be incomplete "
African Chicken Genetic Gains (ACGG) - Baseline Data,Agriculture ,"Ethiopia, Nigeria, Tanzania",Tabular,Open Access (CC BY 4.0),CGIAR Data Portal,"Livestock breeding programs, poultry productivity improvement, socio-economic analysis, policy planning for rural development",2024,Contains baseline survey data on smallholder chicken farming systems; includes farmer preferences and performance metrics; supports gender-disaggregated and breed-specific research
SAEON Environmental & Agricultural Datasets,Agriculture ,South Africa,Metadata ,Open Access (CC BY 4.0),SAEON Data Catalogue,"Agroclimatic modeling, precision agriculture, land degradation monitoring, biodiversity conservation",2025,Requires JavaScript-enabled browser; some datasets may require GIS tools; limited metadata visibility without direct access
Coffee and Cashew Nut Dataset,Agriculture ,Uganda,Image ,Open Access (CC BY 4.0),Mendeley Dataset Link,"Crop classification, fruit detection, yield estimation, AI/ML model training, drone-based agriculture monitoring",2023,"Contains 6,086 annotated images of coffee and cashew crops; includes maturity levels (unripe, ripe, spoilt); validated by agricultural experts; suitable for object detection and counting models"
Cassava Whitefly Dataset,Agriculture ,Uganda,Image ,Open Access (CC BY 4.0),Mendeley Dataset Link,"Pest infestation detection, computer vision for crop disease identification, agricultural AI modeling",2022,"Images grouped into low, moderate, and high whitefly abundance categories; suitable for training ML models in plant health monitoring"
"Agricultural Households Panel Survey (Ethiopia, 2012–2015)",Agriculture ,Ethiopia,Tabular,Open Access (CC0 1.0 – Public Domain),Harvard Dataverse Link,"Crop production analysis, agricultural policy evaluation, rural livelihoods research, climate and farming impact studies",2024,"Rich crop-level data; includes yields, inputs, labor, income; requires statistical software; focused on Ethiopian smallholder farming"
Afrint Survey – Agricultural Households in Sub-Saharan Africa,Agriculture ,Africa-wide,Tabular,Open Access (CC0 1.0 – Public Domain),Harvard Dataverse Link,"Crop production analysis, smallholder farming research, rural development policy, agricultural economics",2024,"Contains rich crop-level data including planting/harvesting dates, yields, inputs; requires statistical software; longitudinal coverage"
KaraAgroAI Drone-based Agricultural Dataset,Agriculture,"Ghana, Uganda",Image ,Open Access (CC BY 4.0),https://huggingface.co/datasets/KaraAgroAI/Drone-based-Agricultural-Dataset-for-Crop-Yield-Estimation,"Yield estimation, crop detection, fruit maturity, ML training",2024,"Drone data processing, limited to specific crops (cashew, cocoa, coffee)"
Lacuna Fund Agriculture Datasets,Agriculture,Africa-wide,Image ,Open Access (CC BY 4.0),https://lacunafund.org/datasets/agriculture/,Crop disease Open License AI Agriculture Datasets for African Innovators and Startups,2025,
FAO Locust Monitoring Data,Agriculture ,Eastern Africa,Geospatial ,Open Access (CC BY‑NC‑SA 3.0 IGO),FAO Locust Watch,"Pest response, food security",2024,Data requires expert interpretation
MLHUB MODIS/Terra Vegetation Indices 16-Day L3 Global 250m SIN Grid,Agriculture,Africa-wide,Geospatial ,Open Access (CC0 – Public Domain),Earthdata Link,"Vegetation monitoring, agriculture yield estimation, drought tracking, environmental change detection",2024,Requires NASA Earthdata account; data in HDF or GeoTIFF format; may require GIS tools for processing
Livestock Production Index – Sub-Saharan Africa,Agriculture ,Africa-wide,Tabular,Open Access (CC BY‑NC‑SA 3.0 IGO),TheGlobalEconomy.com Link,"Agricultural planning, livestock sector analysis, food security research, policy development",2023,Aggregated country-level index; not raw microdata; limited metadata details; based on Food and Agriculture Organization (FAO) statistics
CHIRPS Rainfall Estimates,Agriculture ,Africa-wide,Geospatial ,Public,CHIRPS Data,"Agrometeorology, drought monitoring, crop insurance",2024,Widely used in early warning systems
HarvestChoice Spatial Data,Agriculture ,Africa-wide,Tabular,Open Access (CC BY-NC-SA 4.0),HarvestChoice,"Agricultural planning, investment targeting",2023,Modeled data; not real-time
Invasive and Introduced Plant Species List,Agriculture,Africa-wide,Tabular,Open Access (CC BY 4.0),GBIF,"Invasive species tracking, agroecosystem management",2024,No raw observational data included
AfriCultuReS Satellite Data,Agriculture,Africa-wide,Satellite,Open Access (CC BY-SA 4.0),https://africultures-platform.eu/en/,"Drought monitoring, yield prediction",2023,Requires expert knowledge to use
SoilGrids – Digital Soil Mapping Data,Agriculture ,Africa-wide,Geospatial ,Open Access (CC BY 4.0),SoilGrids,"Precision agriculture, land use planning, climate modeling, environmental research",2025,"Requires GIS tools (QGIS, ArcGIS, or GDAL); data accuracy varies in dense forest areas; global coverage with downloadable layers for African countries"
FAOSTAT,Agriculture,Africa-wide,Tabular,Open Access (CC BY 4.0),FAOSTAT,"Agricultural productivity, food security",2024,Wide coverage but not always granular
Production Of Major Crops in Upper West Region,Agriculture,Ghana,Tabular,Open Access (ODC-By 1.0),data.gov.gh,"Agricultural planning, food security",2018,Limited to Upper West Region; may not be comprehensive
African Foods Dataset (Ghana & Cameroon),Agriculture,"Ghana, Cameroon",Image ,Open Access (CC BY 4.0),Mendeley Dataset Link,"Food recognition systems, AI training for food classification, cultural preservation, nutrition studies",2023,Images manually collected using Snip & Sketch; permissions obtained from page owners where required; limited metadata on image diversity and quality
Leopard ID – Individual Identification Dataset,Agriculture,Botswana ,Image ,Open Access (CDLA‑Permissive‑2.0),LILA Science Dataset,"Wildlife monitoring, individual animal identification, AI model training, conservation research",2022,"Contains 6,795 leopard images and metadata; 430 uniquely identified individuals; requires cloud-based download tools (GCP, AWS, Azure); large file size (~8GB); useful for species-specific AI models and ecological tracking"
Aerial Seabirds West Africa,Agriculture,West Africa ,Geospatial ,Open Access (CDLA‑Permissive‑2.0),LILA Science Dataset,"Wildlife monitoring, species detection, AI model training for bird counting, conservation research",2021,"Contains 21,516 annotated seabirds; requires GIS or computer vision tools; large file size (2.2GB GeoTIFF); spatial reference altered to prevent misuse; useful for ecosystem validation"
Desert Lion Conservation Camera Traps,Agriculture,Namibia ,Image ,Open Access (CDLA‑Permissive‑2.0),LILA Science ,"Wildlife monitoring, species detection, conservation AI, camera trap image analysis",2024,"Contains 65,959 images and 199 videos; labels include species and location identifiers; requires cloud-based download tools like"
Snapshot Safari 2024 Expansion,Agriculture,Africa-wide,Image ,Open Access (CDLA‑Permissive‑2.0),LILA Science ,"Wildlife monitoring, species detection, conservation research, AI model training for biodiversity tracking",2024,"Large dataset size; requires cloud-based download tools like gsutil, aws s3 or AzCopy
Some image filenames correspond to specific project codes. Useful for cross-validation across different ecosystems."
Lacuna Fund Agriculture datasets ,Agriculture,Africa-wide,Geospatial ,Open Access (CC BY 4.0),Lacunafund agriculture datasets,"Image data, crop yied prediction, plant disease monitoring ",2024,referes to links 
AfriPop/WorldPop - Population Density Data,Agriculture ,Africa-wide,Geospatial,Open Access (CC BY 4.0),Worldpop hub,Population density datasets ,2025,"data resolution, accuracy, "
Datasets from CGIAR Research Centers (various specific datasets),Agriculture,Africa-wide,Mixed Formats,Open Access (CC BY-NC 4.0),CGIAR Data Hub,"Crop performance, mapping distribution of pests, analysing socio economic factors",2025,"datasets higlhy specfic to research questions, crops and regions; sensitive data may be restsricted, some datasets may require domain experts to understand "
"National Household Surveys (e.g., Living Standards Measurement Study - Integrated Surveys on Agriculture (LSMS-ISA))",Agriculture ,Africa-wide,Tabular ,Open Access (CC BY 4.0),LSMS-ISA ,"Farm economics, input use, climate adaptation, poverty targeting, food security modeling",2023,"access is restrsicted, data collection is periodical, sample sizes may be limited "
ILRI Datasets,Agriculture,Africa-wide,Tabular,Open Access (CC BY 4.0),ILRI Datasets,"Disease control, productivity analysis",2022,Data access challenges
Kenya National Agriculture Data,Agriculture,Kenya,Tabular,Open Access (CC BY 4.0),KNBS Kenya,Agri productivity models,2024,Some sections outdated
African Soil Information Service (AfSIS),Agriculture,Africa-wide,Geospatial,Open Access (CC BY 4.0),africasoils,"Precision agriculture, soil suitability AI",2024,Incomplete spatial coverage
Makerere University Beans Image Dataset,Agriculture,Uganda,Image,Open Access (CC BY 4.0),Mak-CAD Datasets Page,"Bean disease diagnosis, precision agriculture.",2025,Limited to bean diseases; specific image capture conditions.
Desert Locust Observations,Agriculture,East Africa,Tabular ,Open Access (CC BY 4.0),SDG Data Catalog (AI for Good),Tracking and predicting desert locust outbreaks for early warning systems.,2025,Requires integration with other environmental and weather data for effective prediction.
Ethiopian Crop Yield Dataset,Agriculture,Ethiopia,Tabular,Open,https://data.eiar.gov.et/,"Yield prediction, climate adaptation",2022,Limited temporal range
Africa Fertilizer Map,Agriculture,Africa-wide,Tabular,Open Access (CC BY‑NC‑SA 3.0 IGO),africafertilizer,Fertilizer access modeling,2024,Pricing data not real-time
iNaturalist Africa Dataset,Agriculture,Africa-wide,Image,Open Access (CC BY-NC 4.0),inaturalist data,"Species recognition, biodiversity AI",2024,Uneven geographic coverage
Threatened Bird Species in Africa,Agriculture,Africa-wide,Tabular ,Open Access (CC BY 4.0),Open.Africa Dataset Page,"Wildlife monitoring, conservation planning, AI-based ecological modeling, environmental impact assessments",2024,Contains only tabular bird species list; no images or geospatial data included; useful for integration with GIS or camera trap datasets
Bird Atlas of Kenya – Digitized Breeding Records,Agriculture,Kenya,Geospatial,Open Access (CC BY 4.0),Kenya Bird Atlas,"Biodiversity mapping, ecological research, agroecosystem health indicators, conservation planning",2022,Limited to historical data; useful for longitudinal biodiversity studies; code available for replication
Wildlife Crime Kenya Dataset,Agriculture,Kenya,Tabular ,Open Access (CC BY 4.0),Mendeley Data,"Wildlife crime analysis, policy development, conservation research, legal AI tools",2025,"Contains 1,099 wildlife crime cases involving 2,025 persons across 113 Kenyan magistrate courts; data collected between 2018–2019"
Malawi Africa RISING Follow-up Survey,Agriculture,Malawi,Tabular,Open Access (CC BY 4.0),Harvard Dataverse,"Agricultural policy, rural livelihoods",2023,Follow-up data; baseline survey required for full context
International Food Security Data,Agriculture,Africa-wide,Tabular,Open Access (CC0 1.0 – Public Domain),Food Security data,Hunger risk assessment,2024,Regional focus
ATI Ethiopia Datasets,Agriculture,Ethiopia,Mixed Formats,Public,ATI Data Portal,"Agricultural planning, policy development",2024,Data availability varies by dataset
African Plums Quality and Defect Assessment Data,Agriculture ,Cameroon,Image ,Open Access (CC BY 4.0),Kaggle Link,"Crop quality assessment, AI/ML model training, defect detection, precision agriculture",2023,Contains images of African plums (Dacryodes edulis) labeled by experts; suitable for deep learning models; limited to one crop species
RCMRD – Africa Biomes Dataset,Agriculture ,Africa-wide,Geospatial ,Open Access (CC BY 4.0),RCMRD Open Data – Africa Biomes,"Land cover mapping, agriculture planning, environmental monitoring, biodiversity research, climate change impact analysis",2023,High-resolution land cover map of Africa; derived from ESA Sentinel-2 satellite imagery; requires GIS tools to use
Characterization of Seed Germination Capacity and Effect of Pre-Sowing Treatments on Seed Germination,Agriculture ,Africa-wide,Tabular,Open Access (CC BY 4.0),IITA Data Portal,"Seed viability analysis, agronomy research, seed technology development, precision agriculture",2025,Contains experimental results from controlled trials; supports AI modeling for seed treatment optimization; may require domain knowledge in plant physiology
SNP Dataset for GWAS in Cassava,Agriculture ,Africa-wide,Tabular,Open Access (CC BY 4.0),IITA Data Portal,"Genome-Wide Association Studies (GWAS), cassava trait mapping, disease resistance breeding, climate resilience research",2025,Contains high-density SNP data for cassava genotypes; supports genetic improvement of cassava varieties; requires bioinformatics tools for analysis
iSDAsoil Datasets ,Agriculture,Africa-wide,Geospatial ,Open Access (CC BY 4.0),iSDA Soil Data,"Precision agriculture, soil mapping, AI modeling for crop suitability",2024,Accuracy can be lower in dense jungle areas; requires geospatial analysis skills.
SLAPIS-Niger – Local Early Warning & Agricultural Planning System,Agriculture,Niger,Tabular ,Open Access (CC0 – Public Domain),SLAPIS-Niger Website,"Food security monitoring, drought early warning, crop production planning, market price tracking, climate adaptation",2025,Limited public access to raw datasets; mostly used internally by government and humanitarian actors; requires collaboration or institutional affiliation to access granular data
Invasive and Introduced Plant Species List,Agriculture,Africa-wide,Tabular,Open Access (CC BY 4.0),GBIF Dataset Link,"Biodiversity monitoring, invasive species research, ecological modeling, conservation planning",2018,Contains a list of plant species; no raw observational data included in this view; metadata limited without direct GBIF API integration
Tanzania Agricultural Satellite Data ,Agriculture,Tanzania,Image ,Open Access (CC BY 4.0),https://tanzaniasa.go.tz/,"Crop monitoring, land use classification",2025,Cloud cover interference
Cameroon Crop Disease Dataset ,Agriculture,Cameroon,Image ,Open Access (CC BY 4.0),https://cameroonagri.gov.cm/,"Disease detection, precision agriculture",2023,Limited data size
Crop Disease Dataset – Ghana,Agriculture,Ghana,Image ,Open Access (CC BY 4.0),Kaggle Link,"Crop disease detection, AI/ML model training, plant health monitoring, agricultural extension tools",2023,"Contains over 1,500 images of diseased crops; includes cassava, maize, and tomato; suitable for computer vision and deep learning models"
HIV/AIDS Prevalence in Sub-Saharan Africa,Healthcare,Africa-wide,Tabular,Open Access (CC BY 4.0),World Bank Link,"Public health planning, disease burden analysis, policy evaluation, academic research",2023,Regional aggregate data (not country-specific); some years may have modeled or estimated values; limited demographic breakdown
CHAMPS HD SSLC – Health & Demographic Surveillance Data,Healthcare,Africa-wide,Tabular,Open Access (CC BY 4.0),CHAMPS HD SSLC,"Child mortality risk mapping, disease outbreak prediction, early warning systems, agricultural planning",2025,Integrates with HDSS networks like INDEPTH; requires technical knowledge to process remote sensing and health data; some datasets may need access approval
BraTS-Africa Dataset (Brain Tumor Segmentation Africa),Healthcare,Nigeria,Image ,Open Access (CC BY 4.0),Brats Africa ,"Brain tumor detection, segmentation, and diagnosis; medical image analysis.",2024,"Limited to brain tumors; ethical considerations for medical data; need for broader coverage of African patient data. also contains 146 patient scans; includes preprocessed NIfTI files; requires license agreement for access to full dataset
"
A labeled Clinical-MRI dataset of Nigerian brains – Brain Masks,Healthcare,Nigeria,Image ,Open Access (CC BY 4.0),brainlife.io Link,"Neuroimaging research, disease classification, AI/ML model training for brain disorders, African-specific neuroanatomy studies",2024,Contains manually segmented brain masks; includes healthy controls and neurological conditions like dementia and Parkinson’s; suitable for deep learning and segmentation tasks
Malaria Parasite Image Dataset – Malaria Species Classification,Healthcare ,Africa-wide,Image ,Open Access (CC BY 4.0),Kaggle Link,"Malaria diagnosis, AI/ML model training for parasite detection, telemedicine tools, disease surveillance",2021,Contains labeled microscopic images of malaria-infected red blood cells; suitable for CNN-based classification models; limited metadata on patient origin or clinical context
DHS - Demographic and Health Surveys,Healthcare,Africa-wide,Tabular,Licensed ,DHS Program,"Public health, gender studies, population",2022,Lag in availability of recent data
Wazimap – COVID-19 Data Subsets,Healthcare,South Africa,Tabular ,Open Access (CC BY 4.0),Africa Data Hub,"Public health monitoring, pandemic impact analysis, policy evaluation, data journalism",2022,Subset of national statistics; limited to South Africa; does not include real-time or raw case-level data
UNECA COVID-19 Tracker,Healthcare,Africa-wide,Tabular,Public,UNECA Data Hub,"Crisis response, public health",2023,Limited post-pandemic updates
Kenya Demographic and Health Survey (KDHS) 2014,Healthcare,Kenya,Tabular,Open,DHS Program,"Health indicators, policy planning",2014,Data may be outdated
OpenStreetMap Health Facilities Data (Africa Subset),Healthcare,Africa-wide,Geospatial,Open (Open Data Commons Open Database License - ODbL),Export tool OSM,Spatial Data,2025,Data is crowdsourced and quality varies significantly by region and contributor
Malaria in Children Under Five (UNICEF),Healthcare,Africa-wide,Tabular ,Open Access (CC BY 3.0 IGO),UNICEF Malaria Dataset Link,"Public health planning, malaria prevention programs, disease burden analysis, academic research",2023,Contains aggregated national-level statistics; does not include individual-level or subnational survey data; some indicators are modeled estimates
Lacuna Fund Health Datasets,Healthcare,"Uganda, Nigeria",Mixed Formats,Open Access (CC BY 4.0),Lacunafund health datasets,"Disease classification, diagnostics",2024,Not directly downloadable
CHOWNET: An Image Dataset of Nigerian Food,Healthcare,Nigeria ,Tabular,Open Access (CC BY 4.0),Chownet-V1,"Food object detection, food captioning, multi-label classification ",2018,small number im image datasets but very useful
OpenMRS Deployments,Healthcare,Africa-wide,Tabular,Open Access (CC BY 4.0),Wikipedia,Electronic medical records for HIV and TB treatment,2020,Deployment varies by country; data access may require permissions
Health Documents in Serengeti Dataset,Healthcare ,Africa-wide,Text,"Apache 2.0	",GitHub,NLP tasks in healthcare domain,2021,Data collected from various sources; may require preprocessing
Ghana Health Service Data ,Healthcare,Ghana,Tabular ,Restricted,https://www.ghanahealthservice.org/,"Disease surveillance, health analytics",2024,Data privacy restrictions
WHO AFRO Health Data Hub (156 datasets),Healthcare,Africa-wide,Tabular,Open Access (CC BY 4.0),WHO AFRO Data Hub,"Population health monitoring, trend analysis",2025,Heterogeneous formats; fusing country files
iAHO Malaria by Country,Healthcare,Africa-wide,Tabular ,Open Access (CC BY 4.0),WHO AFRO Data Hub,"Public health monitoring, policy-making, research, disease control, SDG Tracking ",2025,Aggregated; requires local case data integration
Interacative TB Mapping ,Healthcare,Africa-wide,Tabular,Open Access (CC BY-NC-SA 4.0),TB Data,National disease tracking ,2022,"Based on models, may not reflect all cases data lag "
World Bank Health Indicators for South Africa,healthcare,South Africa,Tabular,Open Access (CC BY 4.0),Health Indicators for South Africa ,"Health policy, research, monitoring, planning",2024,Monthly updates; broad indicator coverage; data aggregated from official sources; requires attribution
Global Midwives Mapping Dataset,Healthcare,Africa-wide,Tabular ,Open Access (CC BY-NC-SA 4.0),GMMD Dataset,"Workforce planning, maternal health equity, training gaps",2023,Varies by country; may miss informal care providers
"ICRISAT Agricultural & Health Linkage Data (e.g., nutrition surveys, links to crop data)",Healthcare,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),ICRISAT," links between agricultural production, food security, and nutritional outcomes at the household level.",2025,"access policies vary, "
OpenPowerlifting Data,Healthcare,Africa-wide,Tabular ,Open Access (CC BY 4.0),OpenPowerlifting Website,"Sports analytics, performance benchmarking, trend analysis, open data research",2024,Contains detailed global powerlifting records; can be used for statistical modeling and visualization
Dataset for Modeling Climate Change and Health in Uganda-East Africa,Healthcare,"Uganda, Nigeria",Tabular,Open Access (CC BY 4.0),Figshare Link,"Climate change impact analysis, disease prediction modeling, early warning system development, public health planning",2023,"Includes 436 matched records of climate and health data; covers climate-sensitive diseases; includes variables like rainfall, temperature, humidity, pressure, solar radiation, and wind speed"
Distribution of Outbreaks by Region per Month,Healthcare,Ghana,Tabular,Public,data.gov.gh,"Public health monitoring, emergency response",2012,Data may be outdated; limited to 2000-2012
COVID-19 Africa Data Hub,Healthcare,Africa-wide,Tabular,Open Access (CC BY‑NC‑SA 3.0 IGO),https://africacdc.org/covid-19/,"Disease tracking, outbreak modeling",2025,Data inconsistencies between countries
Healthcare Prices in Sub-Saharan Africa (World Bank Data),Healthcare,Africa-wide,Tabular ,Open Access (CC BY 4.0),TheGlobalEconomy.com Link,"Health economics research, cost comparison, policy analysis, healthcare affordability assessment",2023,Aggregated country-level data; not raw microdata; based on health price indices; limited metadata details; sourced from secondary databases
AfriMed-QA ,Healthcare,Africa-wide,Text,Open Access (CC BY 4.0),Afrimed QA,"LLM in african healthcare, clinical decision support, AI halucination in medicine ",2024,"high quality but limited size, Niche use cases "
Offshore Wind Technical Potential,Environment and Energy,Africa-wide,Geospatial ,Open Access (CC BY 4.0),https://energydata.info/dataset/offshore-wind-technical-potential,"Wind farm planning, renewable energy resource assessment",2021,"Data resolution varies, requires GIS expertise, limited to offshore wind"
Electricity Maps Data,Environment and Energy,Africa-wide,Tabular,Open (Open Data Commons Open Database License - ODbL),https://portal.electricitymaps.com/datasets,"Grid emissions tracking, renewable integration analysis",2024,"Data coverage varies by country, relies on public grid data"
Global Fishing Watch,Environment and Energy,Africa-wide,Geospatial,Open Access (CC BY-NC 4.0),Global Fishing Watch,Illegal fishing detection,2025,Satellite-based tracking
Morocco Weather Data ,Environment and Energy,Morocco,Tabular,Open (Open Data Commons Open Database License - ODbL),https://www.dmne.gov.ma/,"Climate modeling, agriculture",2023,Variable data quality
Power Africa Enabling Environment Tracker Dataset (2021),Environment and Energy,Africa-wide,Tabular,Open Access (Public Domain),Data.gov Link,"Policy analysis, regulatory reform, investment climate assessment, energy sector reform tracking",2021,Focuses on regulatory and policy environment for power investments; includes country-level scores and indicators across 12 countries
East Africa - Power Pool Renewable Energy Zones Wind,Environment and Energy,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),Energydata.info Link,"Renewable energy planning, wind power site selection, regional power integration, feasibility studies",2018,Contains spatial (GeoJSON) data for wind zones; may require GIS tools to analyze; limited metadata details available
AFRO_ENERGYPOL – Database of African Renewable Energy Policies,Environment and Energy,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),Mendeley Dataset Link,"Renewable energy policy analysis, comparative studies, academic research, policy design and reform",2020,"Based on publicly available sources (World Bank, IRENA, IEA, Climatescope); includes qualitative and quantitative assessments of policies; published in:""Is Green a Africa-wide Colour? Mapping African Renewable Energy Policies and Transitions in 34 Countries"", in:Energy Research and Social Science"
Climate Compatible Growth Starter Datasets,Environment and Energy,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),Zenodo,"Energy planning, environmental studies",2023,Data standardization across countries
